title;genre;description;img_link
Dahmer - Monster: The Jeffrey Dahmer Story;Crime;Story of the Milwaukee Monster told from the perspective of the victims and police incompetence that allowed the Wisconsin native to go on a multiyear killing spree.;Crime_020.jpg
The Sopranos;Crime;New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.;Crime_021.jpg
Criminal Minds;Crime;The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again.;Crime_022.jpg
The Rookie;Crime;Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis.;Crime_023.jpg
The Blacklist;Crime;A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.;Crime_024.jpg
Violent Night;Crime;When a group of mercenaries attack the estate of a wealthy family, Santa Claus must step in to save the day (and Christmas).;Crime_025.jpg
Shantaram;Crime;Lindsay, Australian character, sentenced to a long, harsh prison term after life spirals out of control, he escapes and makes his way to Bombay. Befriended by a Prabaker, by a twist of fate Lin ends up living in Prabaker's slum.;Crime_026.jpg
Big Sky;Crime;A private detective teams up with an ex-cop to solve a kidnapping case in Montana.;Crime_027.jpg
Gangs of London;Crime;Tells the story of London being torn apart by the turbulent power struggles of its international gangs and the sudden power vacuum that's created when the head of London's most powerful crime family is assassinated.;Crime_028.jpg
The Batman;Crime;When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.;Crime_029.jpg
A Friend of the Family;Crime;"Tells the harrowing true story of the Broberg family, whose daughter Jan was kidnapped multiple times over a period of years by a charismatic, obsessed family ""friend.""";Crime_030.jpg
The Calling;Crime;Guided by a deep sense of spirituality and religious principles, NYPD Detective Avraham Avraham is left to question his own humanity when a routine investigation turns upside down.;Crime_031.jpg
Bones;Crime;"Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones.";Crime_032.jpg
The Godfather;Crime;The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.;Crime_033.jpg
The Bad Guys;Crime;To avoid prison, a gang of notorious animal criminals pretend to seek being rehabilitated, only for their leader to secretly find that he genuinely wants to change his ways.;Crime_034.jpg
Lucifer;Crime;Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.;Crime_035.jpg
The Sinner;Crime;Anthology series that examines how and why ordinary people commit brutal crimes.;Crime_036.jpg
True Detective;Crime;Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.;Crime_037.jpg
The Wire;Crime;The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.;Crime_038.jpg
Knives Out;Crime;A detective investigates the death of the patriarch of an eccentric, combative family.;Crime_039.jpg
The Stranger;Crime;Two men who meet on a bus and strike up a conversation that turns into friendship. For Henry Teague, worn down by a lifetime of physical labour and crime, this is a dream come true.;Crime_040.jpg
Elite;Crime;When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.;Crime_041.jpg
Ozark;Crime;A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.;Crime_042.jpg
Law & Order;Crime;Follows a crime (usually a murder), usually adapted from current headlines, from two separate vantage points, the police investigation and the prosecution in court.;Crime_043.jpg
Sherlock;Crime;A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.;Crime_044.jpg
Black Bird;Crime;Jimmy Keene is sentenced to 10 years in a minimum security prison but he cuts a deal with the FBI to befriend a suspected serial killer. Keene has to elicit a confession from Larry Hall to find the bodies of as many as eighteen women.;Crime_045.jpg
The X Files;Crime;Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.;Crime_046.jpg
Midsomer Murders;Crime;A veteran Detective Chief Inspector and his young Sergeant investigate murders around the regional community of Midsomer County.;Crime_047.jpg
Dexter;Crime;He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.;Crime_048.jpg
Brooklyn Nine-Nine;Crime;Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.;Crime_049.jpg
Lost Bullet 2;Crime;After the death of Charras, Lino and Julia took over and form the new narcotic unit. Determined to find the murderers of his brother and his mentor, Lino continues his hunt and won't let anyone get in his way.;Crime_050.jpg
Black Panther: Wakanda Forever;Drama;The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.;Drama_01.jpg
The Crown;Drama;Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.;Drama_02.jpg
1899;Drama;Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea.;Drama_03.jpg
Yellowstone;Drama;A ranching family in Montana faces off against others encroaching on their land.;Drama_04.jpg
The White Lotus;Drama;Set in a tropical resort, it follows the exploits of various guests and employees over the span of a week.;Drama_05.jpg
Andor;Drama;Prequel series to Star Wars' 'Rogue One'. In an era filled with danger, deception and intrigue, Cassian will embark on the path that is destined to turn him into a Rebel hero.;Drama_06.jpg
The Walking Dead;Drama;Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.;Drama_07.jpg
The Peripheral;Drama;Set in the future when technology has subtly altered society, a woman discovers a secret connection to an alternate reality as well as a dark future of her own.;Drama_08.jpg
The English;Drama;Follows a woman as she seeks revenge on the man she sees as responsible for the death of her son.;Drama_09.jpg
Tulsa King;Drama;"Following his release from prison, mafia capo Dwight ""The General"" Manfredi is exiled to Tulsa, Oklahoma, where he builds a new criminal empire with a group of unlikely characters.";Drama_010.jpg
Don't Worry Darling;Drama;A 1950s housewife living with her husband in a utopian experimental community begins to worry that his glamorous company could be hiding disturbing secrets.;Drama_011.jpg
Guillermo del Toro's Cabinet of Curiosities;Drama;Bizarre nightmares unfold in eight tales of terror in a visually stunning, spine-tingling horror collection curated by Guillermo del Toro.;Drama_012.jpg
Where the Crawdads Sing;Drama;A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved.;Drama_013.jpg
House of the Dragon;Drama;An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.;Drama_014.jpg
The Wonder;Drama;A tale of two strangers who transform each other's lives, a psychological thriller, and a story of love pitted against evil.;Drama_015.jpg
Warrior Nun;Drama;After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo Bearer for a secret sect of demon-hunting nuns.;Drama_016.jpg
Game of Thrones;Drama;Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.;Drama_017.jpg
1923;Drama;The Duttons face a new set of challenges in the early 20th century, including the rise of Western expansion, Prohibition and the Great Depression.;Drama_018.jpg
Manifest;Drama;A commercial airliner suddenly reappears after being missing for five years. As those aboard reintegrate into society, they experience guiding voices and visions of events yet to occur, and soon a deeper mystery unfolds.;Drama_019.jpg
Enola Holmes 2;Drama;Now a detective-for-hire, Enola Holmes takes on her first official case to find a missing girl as the sparks of a dangerous conspiracy ignite a mystery that requires the help of friends - and Sherlock himself - to unravel.;Drama_020.jpg
All Quiet on the Western Front;Drama;A young German soldier's terrifying experiences and distress on the western front during World War I.;Drama_021.jpg
Dead to Me;Drama;A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.;Drama_022.jpg
The Handmaid's Tale;Drama;Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.;Drama_023.jpg
The Santa Clauses;Drama;Scott Calvin is about to turn 65 and, realizing he can't be Santa forever, sets out to find a suitable replacement Santa while preparing his family for a new adventure in life south of the pole.;Drama_024.jpg
American Horror Story;Drama;;Drama_025.jpg
Amsterdam;Drama;In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history.;Drama_026.jpg
The Whale;Drama;A reclusive English teacher attempts to reconnect with his estranged teenage daughter.;Drama_027.jpg
God of War: Ragnarök;Drama;Kratos and his son Atreus face the oncoming Norse apocalypse, Ragnarok.;Drama_028.jpg
Inside Man;Drama;A prisoner on death row in the US and a woman trapped in a cellar under an English vicarage, cross paths in the most unexpected way.;Drama_029.jpg
The Lord of the Rings: The Rings of Power;Drama;Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth.;Drama_030.jpg
SAS Rogue Heroes;Drama;SAS: Rogue Heroes charts the creation of the famed Special Forces unit. Based on the book by Ben Macintyre.;Drama_031.jpg
Grey's Anatomy;Drama;A drama centered on the personal and professional lives of five surgical interns and their supervisors.;Drama_032.jpg
Breaking Bad;Drama;A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.;Drama_033.jpg
Stranger Things;Drama;When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.;Drama_034.jpg
The Watcher;Drama;"A married couple moving into their dream home are threatened by terrifying letters from a stalker, signed - ""The Watcher.""";Drama_035.jpg
The Banshees of Inisherin;Drama;Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.;Drama_036.jpg
The Fabelmans;Drama;Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.;Drama_037.jpg
1883;Drama;Follows the Dutton family as they embark on a journey west.;Drama_038.jpg
Bones and All;Drama;Maren, a young woman, learns how to survive on the margins of society.;Drama_039.jpg
The Good Nurse;Drama;An infamous caregiver is implicated in the deaths of hundreds of hospital patients.;Drama_040.jpg
Tár;Drama;Set in the international world of Western classical music, the film centers on Lydia Tár, widely considered one of the greatest living composer-conductors and first-ever female music director of a major German orchestra.;Drama_041.jpg
The Devil's Hour;Drama;A woman who wakes up every night at exactly 3.33AM, in the middle of the so-called devil's hour between 3AM and 4AM.;Drama_042.jpg
Better Call Saul;Drama;The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.;Drama_043.jpg
Glass Onion: A Knives Out Mystery;Drama;Famed Southern detective Benoit Blanc travels to Greece for his latest case.;Drama_044.jpg
Enola Holmes;Drama;When Enola Holmes-Sherlock's teen sister-discovers her mother is missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.;Drama_045.jpg
The Chosen;Drama;;Drama_046.jpg
Top Gun: Maverick;Drama;After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.;Drama_047.jpg
Monica O My Darling;Drama;A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing not even death , is what it seems to be.;Drama_048.jpg
Doctor Who;Drama;The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.;Drama_049.jpg
The Boys;Drama;A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.;Drama_050.jpg
Disenchanted;Family;Fifteen years after her happily ever after, Giselle questions her happiness, inadvertently turning the lives of those in the real world and Andalasia upside down in the process.;Family_01.jpg
Spirited;Family;A musical version of Charles Dickens's story of a miserly misanthrope who is taken on a magical journey.;Family_02.jpg
A Christmas Story Christmas;Family;Follows the now-adult Ralphie as he returns to the house on Cleveland Street to give his kids a magical Christmas like the one he had as a child, reconnecting with childhood friends, and reconciling the passing of his Old Man.;Family_03.jpg
The Santa Clauses;Family;Scott Calvin is about to turn 65 and, realizing he can't be Santa forever, sets out to find a suitable replacement Santa while preparing his family for a new adventure in life south of the pole.;Family_04.jpg
A Christmas Story;Family;In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift.;Family_05.jpg
Slumberland;Family;A young girl discovers a secret map to the dreamworld of Slumberland, and with the help of an eccentric outlaw, she traverses dreams and flees nightmares, with the hope that she will be able to see her late father again.;Family_06.jpg
Enchanted;Family;A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.;Family_07.jpg
Wednesday;Family;Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart and solve the mystery that embroiled her parents.;Family_08.jpg
Elemental;Family;Follows Ember and Wade, in a city where fire-, water-, land- and air-residents live together.;Family_09.jpg
The Bad Guys;Family;To avoid prison, a gang of notorious animal criminals pretend to seek being rehabilitated, only for their leader to secretly find that he genuinely wants to change his ways.;Family_010.jpg
Strange World;Family;The legendary Clades are a family of explorers whose differences threaten to topple their latest and most crucial mission.;Family_011.jpg
Pinocchio;Family;A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child.;Family_012.jpg
Home Alone;Family;An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.;Family_013.jpg
Harry Potter and the Philosopher's Stone;Family;An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.;Family_014.jpg
Christmas with You;Family;Follows a pop star who's got a career burnout and escapes to a small town where she finds not only inspiration but a shot of love.;Family_015.jpg
The Santa Clause;Family;When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place.;Family_016.jpg
Zootopia+;Family;The adventures of the creatures of the most incredible metropolis: Zootopia.;Family_017.jpg
Elf;Family;Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit.;Family_018.jpg
Wendell & Wild;Family;Two scheming demon brothers, Wendell and Wild, enlist the aid of 13-year-old Kat Elliot to summon them to the Land of the Living.;Family_019.jpg
Puss in Boots: The Last Wish;Family;Puss in Boots discovers that his passion for adventure has taken its toll: he has burned through eight of his nine lives. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.;Family_020.jpg
How the Grinch Stole Christmas;Family;On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.;Family_021.jpg
Lyle, Lyle, Crocodile;Family;Feature film based on the children's book about a crocodile that lives in New York City.;Family_022.jpg
The Little Rascals;Family;"Alfalfa is wooing Darla and his ""He-Man-Woman-Hating"" friends attempt to sabotage the relationship.";Family_023.jpg
Sing 2;Family;Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.;Family_024.jpg
His Dark Materials;Family;A young girl is destined to liberate her world from the grip of the Magisterium which represses people's ties to magic and their animal spirits known as daemons.;Family_025.jpg
Batman: The Animated Series;Family;The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.;Family_026.jpg
The Princess Bride;Family;While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.;Family_027.jpg
The Dragon Prince;Family;Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands.;Family_028.jpg
Super Pets;Family;Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a rescue mission when Superman is kidnapped.;Family_029.jpg
My Father's Dragon;Family;Elmer Elevator searches for a captive Dragon on Wild Island and finds much more than he could ever have anticipated.;Family_030.jpg
The Little Mermaid;Family;A young mermaid makes a deal with a sea witch, to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.;Family_031.jpg
Pokémon;Family;Ash Ketchum, his yellow pet Pikachu, and his human friends explore a world of powerful creatures. Available on Hulu Japan in the original Japanese broadcast version.;Family_032.jpg
Miraculous: Tales of Ladybug & Cat Noir;Family;Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.;Family_033.jpg
The Super Mario Bros. Movie;Family;A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess.;Family_034.jpg
Zootropolis;Family;In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.;Family_035.jpg
Heartland;Family;A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.;Family_036.jpg
Encanto;Family;A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.;Family_037.jpg
Pinocchio;Family;A puppet is brought to life by a fairy, who assigns him to lead a virtuous life in order to become a real boy.;Family_038.jpg
The Santa Clause 2;Family;Scott Calvin has been a humble Santa Claus for eight years, but it might come to an end if he doesn't find a Mrs. Claus.;Family_039.jpg
The Goonies;Family;A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.;Family_040.jpg
Blue's Big City Adventure;Family;Josh and Blue head to New York City to audition for a big Broadway musical.;Family_041.jpg
The Polar Express;Family;On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.;Family_042.jpg
Home Alone 2: Lost in New York;Family;One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.;Family_043.jpg
Malcolm in the Middle;Family;A gifted young teen tries to survive life with his dimwitted, dysfunctional family.;Family_044.jpg
Fantastic Beasts: The Secrets of Dumbledore;Family;Professor Albus Dumbledore must assist Newt Scamander and his partners as Grindelwald begins to lead an army to eliminate all Muggles.;Family_045.jpg
Harry Potter and the Chamber of Secrets;Family;An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.;Family_046.jpg
Harry Potter and the Goblet of Fire;Family;Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.;Family_047.jpg
Lopez vs. Lopez;Family;A working-class family comedy about dysfunction, reconnection, and all the pain and joy in between.;Family_048.jpg
Avatar: The Last Airbender;Family;In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.;Family_049.jpg
Matilda the Musical;Family;An adaptation of the Tony and Olivier award-winning musical. Matilda tells the story of an extraordinary girl who, armed with a sharp mind and a vivid imagination, dares to take a stand to change her story with miraculous results.;Family_050.jpg
Black Panther: Wakanda Forever;Fantasy;The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.;Fantasy_01.jpg
Black Adam;Fantasy;Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.;Fantasy_02.jpg
Disenchanted;Fantasy;Fifteen years after her happily ever after, Giselle questions her happiness, inadvertently turning the lives of those in the real world and Andalasia upside down in the process.;Fantasy_03.jpg
House of the Dragon;Fantasy;An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.;Fantasy_04.jpg
Warrior Nun;Fantasy;After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo Bearer for a secret sect of demon-hunting nuns.;Fantasy_05.jpg
Game of Thrones;Fantasy;Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.;Fantasy_06.jpg
The Santa Clauses;Fantasy;Scott Calvin is about to turn 65 and, realizing he can't be Santa forever, sets out to find a suitable replacement Santa while preparing his family for a new adventure in life south of the pole.;Fantasy_07.jpg
God of War: Ragnarök;Fantasy;Kratos and his son Atreus face the oncoming Norse apocalypse, Ragnarok.;Fantasy_08.jpg
The Lord of the Rings: The Rings of Power;Fantasy;Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth.;Fantasy_09.jpg
Stranger Things;Fantasy;When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.;Fantasy_010.jpg
Slumberland;Fantasy;A young girl discovers a secret map to the dreamworld of Slumberland, and with the help of an eccentric outlaw, she traverses dreams and flees nightmares, with the hope that she will be able to see her late father again.;Fantasy_011.jpg
Avatar: The Way of Water;Fantasy;Jake Sully lives with his newfound family formed on the planet of Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their planet.;Fantasy_012.jpg
Enchanted;Fantasy;A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.;Fantasy_013.jpg
Wednesday;Fantasy;Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart and solve the mystery that embroiled her parents.;Fantasy_014.jpg
Titans;Fantasy;A team of young superheroes combat evil and other perils.;Fantasy_015.jpg
Supernatural;Fantasy;Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth.;Fantasy_016.jpg
Elemental;Fantasy;Follows Ember and Wade, in a city where fire-, water-, land- and air-residents live together.;Fantasy_017.jpg
Chainsaw Man;Fantasy;Following a betrayal, a young man left for the dead is reborn as a powerful devil-human hybrid after merging with his pet devil and is soon enlisted into an organization dedicated to hunting devils.;Fantasy_018.jpg
Everything Everywhere All at Once;Fantasy;An aging Chinese immigrant is swept up in an insane adventure, in which she alone can save the world by exploring other universes connecting with the lives she could have led.;Fantasy_019.jpg
Thor: Love and Thunder;Fantasy;Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.;Fantasy_020.jpg
The Bastard Son & The Devil Himself;Fantasy;Caught between two warring clans, the son of a notorious witch responsible for a deadly massacre tries to find his place in the world — and his powers.;Fantasy_021.jpg
Anne Rice's Interview with the Vampire;Fantasy;Based on Anne Rice's iconic novel, follow Louis de Pointe's epic story of love, blood and the perils of immortality, as told to the journalist Daniel Molloy.;Fantasy_022.jpg
Bleach: Thousand-Year Blood War;Fantasy;The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.;Fantasy_023.jpg
The School for Good and Evil;Fantasy;Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when they're swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.;Fantasy_024.jpg
The Witcher;Fantasy;Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.;Fantasy_025.jpg
Lucifer;Fantasy;Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.;Fantasy_026.jpg
The Sandman;Fantasy;Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.;Fantasy_027.jpg
The Northman;Fantasy;A young Viking prince is on a quest to avenge his father's murder.;Fantasy_028.jpg
Strange World;Fantasy;The legendary Clades are a family of explorers whose differences threaten to topple their latest and most crucial mission.;Fantasy_029.jpg
Pinocchio;Fantasy;A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child.;Fantasy_030.jpg
Ghosts;Fantasy;A young couple's dreams come true when they inherit a beautiful country house, only to find it's both falling apart and inhabited by many of the deceased previous residents.;Fantasy_031.jpg
The Mandalorian;Fantasy;The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.;Fantasy_032.jpg
Attack on Titan;Fantasy;After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.;Fantasy_033.jpg
One Piece Film: Red;Fantasy;For the first time ever, Uta - the most beloved singer in the world - will reveal herself to the world at a live concert. The voice that the whole world has been waiting for is about to resound.;Fantasy_034.jpg
Harry Potter and the Philosopher's Stone;Fantasy;An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.;Fantasy_035.jpg
Avatar;Fantasy;A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.;Fantasy_036.jpg
Inside Job;Fantasy;For employees of the Deep State, conspiracies aren't just theories, they're fact. And keeping them a secret is a full-time job.;Fantasy_037.jpg
Star Wars: Tales of the Jedi;Fantasy;It showcases animated shorts that feature Jedi from the prequel era.;Fantasy_038.jpg
Outlander;Fantasy;An English combat nurse from 1945 is mysteriously swept back in time to 1743.;Fantasy_039.jpg
The Santa Clause;Fantasy;When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place.;Fantasy_040.jpg
Spider-Man: No Way Home;Fantasy;With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.;Fantasy_041.jpg
Lost;Fantasy;The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.;Fantasy_042.jpg
The Vampire Diaries;Fantasy;The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.;Fantasy_043.jpg
One Piece;Fantasy;"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".";Fantasy_044.jpg
Buffy the Vampire Slayer;Fantasy;A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends.;Fantasy_045.jpg
Elf;Fantasy;Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit.;Fantasy_046.jpg
The Lord of the Rings: The Fellowship of the Ring;Fantasy;A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.;Fantasy_047.jpg
Wendell & Wild;Fantasy;Two scheming demon brothers, Wendell and Wild, enlist the aid of 13-year-old Kat Elliot to summon them to the Land of the Living.;Fantasy_048.jpg
What We Do in the Shadows;Fantasy;A look into the daily (or rather nightly) lives of four vampires who've lived together on Staten Island for over a century.;Fantasy_049.jpg
Doctor Strange in the Multiverse of Madness;Fantasy;;Fantasy_050.jpg
Tension;Film-Noir;A meek pharmacist creates an alternate identity under which he plans to murder the bullying liquor salesman who has become his wife's lover.;Film-Noir_01.jpg
Touch of Evil;Film-Noir;A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.;Film-Noir_02.jpg
Murder, My Sweet;Film-Noir;After being hired to find an ex-con's former girlfriend, Philip Marlowe is drawn into a deeply complex web of mystery and deceit.;Film-Noir_03.jpg
Sunset Blvd.;Film-Noir;A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.;Film-Noir_04.jpg
The Postman Always Rings Twice;Film-Noir;A married woman and a drifter fall in love, then plot to murder her husband.;Film-Noir_05.jpg
Rebecca;Film-Noir;A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.;Film-Noir_06.jpg
Double Indemnity;Film-Noir;A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.;Film-Noir_07.jpg
Kiss Me Deadly;Film-Noir;"A doomed female hitchhiker pulls Mike Hammer into a deadly whirlpool of intrigue, revolving around a mysterious ""great whatsit"".";Film-Noir_08.jpg
